domain,m_p,m_e,v_p,r_p,omega_p,tau_p,v_e,r_e,omega_e,miss_distance
terrestrial,65.0,54.42,17.566072117035763,25.572618749815707,0.6869093966828234,0.17939398197523246,17.512876745374673,25.417970040417107,0.6889958843104879,3.1105928599146737
terrestrial,65.0,39.5,17.566072117035763,25.572618749815707,0.6869093966828234,0.17939398197523246,17.236153960232194,24.621052297790367,0.7000575666613187,2.9423494372804218
terrestrial,65.0,25.0,17.566072117035763,25.572618749815707,0.6869093966828234,0.17939398197523246,16.463014931970246,22.461803589358404,0.7329337943178272,2.603906627752059
terrestrial,9.2,0.04,13.747215204954967,15.662292988848696,0.8777268574111573,0.1364364138861859,3.611036280608708,1.080661264834487,3.341506166746682,0.41961762947852826
terrestrial,9.2,0.02,13.747215204954967,15.662292988848696,0.8777268574111573,0.1364364138861859,3.041214139502336,0.7665136323735472,3.9675930225599076,0.3622250099671316
terrestrial,9.2,0.25,13.747215204954967,15.662292988848696,0.8777268574111573,0.1364364138861859,5.686217551651307,2.6796176163950327,2.12202573862055,0.6152381470509144
terrestrial,18.0,1.5,15.681256765575304,20.37922260741911,0.7694727648672183,0.14987809026639679,8.863825668560802,6.511308809049778,1.361297079972826,1.0077656040012386
terrestrial,18.0,0.05,15.681256765575304,20.37922260741911,0.7694727648672183,0.14987809026639679,3.8163026668232165,1.2070117637388422,3.161777524853469,0.48981232978862294
terrestrial,18.0,70.97,15.681256765575304,20.37922260741911,0.7694727648672183,0.14987809026639679,17.56601981424868,25.572466465658668,0.6869114419541085,0.0
terrestrial,18.0,0.3,15.681256765575304,20.37922260741911,0.7694727648672183,0.14987809026639679,5.948971022602027,2.9329832863229495,2.0283003487756623,0.7110324480618645
terrestrial,18.0,1.17,15.681256765575304,20.37922260741911,0.7694727648672183,0.14987809026639679,8.334644604787982,5.757050685638632,1.4477281962410615,0.9523123359296153
terrestrial,40.0,865.0,17.25133290345919,24.66443623529778,0.6994416064848242,0.16760555125802418,12.625642713081767,13.210914192287172,0.9556978820173475,1.6218298723285947
terrestrial,40.0,25.0,17.25133290345919,24.66443623529778,0.6994416064848242,0.16760555125802418,16.463014931970246,22.461803589358404,0.7329337943178272,2.4835279929170073
terrestrial,40.0,270.0,17.25133290345919,24.66443623529778,0.6994416064848242,0.16760555125802418,15.747415783762136,20.55154470439827,0.7662400082458037,2.2440785377405748
terrestrial,40.0,135.0,17.25133290345919,24.66443623529778,0.6994416064848242,0.16760555125802418,17.069319203532565,24.146727503218518,0.7068998977711326,2.7723897144008234
terrestrial,63.0,54.42,17.561904506502742,25.560485807208615,0.6870724069551879,0.17861078405791797,17.512876745374673,25.417970040417107,0.6889958843104879,3.099799039787125
terrestrial,63.0,180.0,17.561904506502742,25.560485807208615,0.6870724069551879,0.17861078405791797,16.601151239777312,22.840325740778848,0.7268351348482659,2.643210780756297
terrestrial,63.0,302.03,17.561904506502742,25.560485807208615,0.6870724069551879,0.17861078405791797,15.479936988345234,19.85931471645317,0.7794799170748987,2.2957737732600645
terrestrial,63.0,25.0,17.561904506502742,25.560485807208615,0.6870724069551879,0.17861078405791797,16.463014931970246,22.461803589358404,0.7329337943178272,2.5922030251501336
terrestrial,63.0,37.5,17.561904506502742,25.560485807208615,0.6870724069551879,0.17861078405791797,17.169815189011647,24.431893258481477,0.7027623691443227,2.8958404103146993
terrestrial,10.0,3.33,13.999478780331513,16.242378038085604,0.8619106603420462,0.1380384264602885,10.797042454934282,9.661298473737045,1.1175560391064003,1.1582116580389095
terrestrial,10.0,0.02,13.999478780331513,16.242378038085604,0.8619106603420462,0.1380384264602885,3.041214139502336,0.7665136323735472,3.9675930225599076,0.36713226364169815
terrestrial,10.0,0.25,13.999478780331513,16.242378038085604,0.8619106603420462,0.1380384264602885,5.686217551651307,2.6796176163950327,2.12202573862055,0.6233695348545447
terrestrial,10.5,0.04,14.146443409917495,16.585188595509653,0.8529564393224667,0.13898454251111822,3.611036280608708,1.080661264834487,3.341506166746682,0.4285050665925486
terrestrial,10.5,0.06,14.146443409917495,16.585188595509653,0.8529564393224667,0.13898454251111822,3.992649555206955,1.3211382503911138,3.0221284971689824,0.46652498685940536
terrestrial,27.0,50.0,16.62133993192112,22.895911848079,0.7259523028481469,0.1586320464684265,17.46223202204586,25.27117237195858,0.690994140082805,1.4882342701251354
terrestrial,27.0,180.0,16.62133993192112,22.895911848079,0.7259523028481469,0.1586320464684265,16.601151239777312,22.840325740778848,0.7268351348482659,2.6205086767669123
terrestrial,27.0,25.0,16.62133993192112,22.895911848079,0.7259523028481469,0.1586320464684265,16.463014931970246,22.461803589358404,0.7329337943178272,2.5368366093441033
terrestrial,9.68,1.5,13.901215353386132,16.01516523716618,0.8680032423971353,0.13741133217233287,8.863825668560802,6.511308809049778,1.361297079972826,0.9269572261737703
terrestrial,9.68,0.3,13.901215353386132,16.01516523716618,0.8680032423971353,0.13741133217233287,5.948971022602027,2.9329832863229495,2.0283003487756623,0.6444961215410049
terrestrial,9.68,0.22,13.901215353386132,16.01516523716618,0.8680032423971353,0.13741133217233287,5.508941903734832,2.5151405898018075,2.1903117169958817,0.6036962539558104
terrestrial,199.0,133.5,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,17.08477095975691,24.190464247313013,0.706260565530677,3.8135613310150553
terrestrial,199.0,180.0,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,16.601151239777312,22.840325740778848,0.7268351348482659,3.5602090742286294
terrestrial,199.0,1555.0,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,10.982138353819433,9.99538904406751,1.0987204505398998,1.8483343214013774
terrestrial,199.0,37.5,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,17.169815189011647,24.431893258481477,0.7027623691443227,3.570254842839805
terrestrial,199.0,529.77,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,14.005151474989242,16.255543773766053,0.8615615490877273,2.4780828473752106
terrestrial,199.0,680.77,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,13.303868400840035,14.668366808953033,0.9069768007655659,2.3060718036061294
terrestrial,199.0,559.76,16.408794518900137,22.31409276774879,0.735355664677358,0.20981639976017977,13.852509651879519,15.90313713859387,0.8710551591900776,2.4385432669690577
terrestrial,51.0,50.0,17.475532957958,25.3096850040755,0.6904682122730487,0.17340428480561687,17.46223202204586,25.27117237195858,0.690994140082805,3.0170571163157756
terrestrial,51.0,45.5,17.475532957958,25.3096850040755,0.6904682122730487,0.17340428480561687,17.386701460917752,25.05303097810261,0.6939959271241254,2.967916230961817
terrestrial,51.0,87.9,17.475532957958,25.3096850040755,0.6904682122730487,0.17340428480561687,17.49473587563405,25.36533845157149,0.6897103269107051,3.0380880721955514
terrestrial,144.88,45.5,16.966695000791148,23.857250296269058,0.7111756296342543,0.20069713885851878,17.386701460917752,25.05303097810261,0.6939959271241254,3.6209493569241045
terrestrial,144.88,683.33,16.966695000791148,23.857250296269058,0.7111756296342543,0.20069713885851878,13.293277300118813,14.645021371742299,0.9076994128372057,2.1534137754693132
